corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
fs,1.98,ABC,0,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,1,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,2,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,3,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,4,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,5,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,6,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,7,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,8,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,9,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,10,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,11,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,12,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,13,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,14,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,15,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,16,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,17,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,18,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,19,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,20,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,21,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,22,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,23,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,24,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,25,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,26,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,27,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,28,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,29,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,0,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,1,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,2,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,3,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,4,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,5,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,6,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,7,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,8,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,9,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,10,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,11,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,12,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,13,0,6,-200.0,,,,,,,timeout
fs,1.98,ACO,14,0,6,-200.0,,,,,,,timeout
