corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
ff,1.62,ABC,0,0,6,-200.0,,,,,,,timeout
ff,1.62,ABC,1,0,6,-200.0,,,,,,,timeout
ff,1.62,ABC,2,0,1,26.54792,1.218263,8.362627,62.1471,60.509,22.3975,50.25919,
ff,1.62,ABC,3,0,2,22.22898,1.222236,33.90706,50.472,72.018,22.0315,35.24054,
ff,1.62,ABC,4,0,2,19.5935,1.216742,2.679784,43.3695,72.413,27.0223,26.25183,
ff,1.62,ABC,5,0,1,43.54179,1.217698,14.8666,55.9723,60.69499999999999,17.3665,53.58384,
ff,1.62,ABC,6,0,3,16.99248,1.212482,38.35858,30.6351,76.07,32.0757,32.25659,
ff,1.62,ABC,7,0,2,25.28303,1.21357,18.55282,44.4211,81.3988,27.0406,29.09074,
ff,1.62,ABC,8,0,3,13.21923,1.237009,59.45426,52.0891,66.596,17.5923,55.49526,
ff,1.62,ABC,9,0,2,39.56749,1.215701,20.84843,49.787,75.63,21.5269,43.18711,
ff,1.62,ABC,10,0,2,21.55828,1.25709,12.13481,48.5353,65.573,15.2272,47.59119,
ff,1.62,ABC,11,0,2,30.25359,1.216203,22.36469,48.9377,70.859,27.8591,36.65927,
ff,1.62,ABC,12,0,3,17.23572,1.213935,4769.229,44.14,68.618,38.1358,22.42645,
ff,1.62,ABC,13,0,2,34.27854,1.214577,30.54811,54.9577,60.688,25.9187,39.37747,
ff,1.62,ABC,14,1,0,39.70568,1.219738,19.90989,51.4226,61.543000000000006,14.7328,30.60049,
ff,1.62,ABC,15,0,1,27.47546,1.217481,19.66803,56.2705,64.579,23.5828,26.37889,
ff,1.62,ABC,16,0,1,24.23687,1.219751,28.59004,54.9866,65.769,28.3767,25.77379,
ff,1.62,ABC,17,0,2,28.18408,1.231276,43.36472,52.809,61.522999999999996,31.4231,43.62185,
ff,1.62,ABC,18,0,1,33.24193,1.227949,7.91169,56.14,71.338,20.9349,38.91082,
